English,Polish,Dutch,Romanian,Czech,Danish,German,Russian,Japanese,,,,,
ENGLISH,ANGIELSKI,ENGELS,ENGLEZ?,ANGLI?TINA,ENGELSK,ENGLISCH,??????????,??,,,,,
FRENCH,FRANCUSKI,FRANS,FRANCEZ?,FRANCOUZŠTINA,FRANSK,FRANZÖSISCH,???????????,?????,,,,,
SPANISH,HISZPA?SKI,SPAANS,SPANIOL?,ŠPAN?LŠTINA,SPANSK ,SPANISCH,?????????,?????,,,,,
GERMAN,NIEMIECKI,DUITS,GERMAN?,N?M?INA ,TYSK ,DEUTSCH,????????,????,,,,,
ITALIAN,W?OSKI,ITALIAANS,ITALIAN?,ITALŠTINA,ITALIENSK,ITALIENISCH,???????????,?????,,,,,
PORTUGESE,PORTUGALSKI,PORTUGEES,PORTUGHEZ?,PORTUGALŠTINA,PORTUGISISK,PORTUGIESISCH,?????????????,??????,,,,,
RUSSIAN,ROSYJSKI,RUSSISCH,RUS?,RUŠTINA,RUSSISK,RUSSISCH,???????,????,,,,,
BULGARIAN ,BU?GARSKI ,BULGAARS,BULGAR?,BULHARŠTINA,BULGARSK,BULGARISCH ,??????????,??????,,,,,
CZECH ,CZESKI,TSJECHISCH,CEH?,?EŠTINA,TJEKKISK,TSCHECHISCH ,???????,????,,,,,
DANISH ,DU?SKI,DEENS,DANEZ?,DÁNŠTINA,DANSK,DÄNISCH ,???????,??????,,,,,
DUTCH ,HOLENDERSKI ,NEDERLANDS,OLANDEZ?,HOLANDŠTINA,HOLLANDSK,NIEDERLÄNDISCH ,???????????,?????,,,,,
FINNISH ,FI?SKI ,FINS,FINLANDEZ?,FINŠTINA,FINSK,FINNISCH ,???????,???????,,,,,
FRENCH (CANADA) ,FRANCUSKI (KANADA) ,FRANS (CANADA),FRANCEZ? (CANADA),FRANCOUZŠTINA (KANADA),FRANSK (CANADA) ,FRANZÖSISCH (KANADA) ,??????????? (??????),??????????,,,,,
GREEK ,GRECKI,GRIEKS,GREAC?,?E?TINA ,GRÆSK,GRIECHISCH ,?????????,?????,,,,,
HEBREW ,HEBRAJSKI ,HEBREEUWS,EBRAIC?,HEBREJŠTINA,HEBRAISK,HEBRÄISCH ,?????,?????,,,,,
HINDI ,HINDI,HINDI,HINDUS?,HINDŠTINA,HINDI,HINDI ,?????,??????,,,,,
HUNGARIAN ,W?GIERSKI,HONGAARS,MAGHIAR?,MA?ARŠTINA,UNGARSK,UNGARISCH ,??????????,??????,,,,,
INDONESIAN ,INDONEZYJSKI ,INDONESISCH,INDONEZIAN?,INDONÉŠTINA,INDONESISK,INDONESISCH ,?????????????,???????,,,,,
JAPANESE ,JAPO?SKI,JAPANS,JAPONEZ?,JAPONŠTINA,JAPANSK,JAPANISCH ,????????,???,,,,,
KOREAN ,KOREA?SKI ,KOREAANS,COREEAN?,KOREJŠTINA,KOREANSK,KOREANISCH ,?????????,???,,,,,
MALAY ,MALAJSKI,MALEIS,MALAIEZ?,MALAJŠTINA,MALAYSISK,MALAIISCH ,?????????,????,,,,,
NORWEGIAN ,NORWESKI,NOORS,NORVEGIAN?,NORŠTINA,NORSK,NORWEGISCH ,??????????,??????,,,,,
POLISH ,POLSKI ,POOLS,POLONEZ?,POLŠTINA,POLSK,POLNISCH ,????????,??????,,,,,
PORTUGUESE (BRAZIL) ,PORTUGALSKI (BRAZYLIA) ,PORTUGEES (BRAZILIË),PORTUGHEZ? (BRAZILIA),PORTUGALŠTINA (BRAZÍLIE),PORTUGISISK (BRASILIEN),PORTUGIESISCH (BRASILIEN) ,????????????? (????????),????????????,,,,,
PORTUGUESE (EUROPE) ,PORTUGALSKI (EUROPA) ,PORTUGEES (EUROPA),PORTUGHEZ? (EUROPA),PORTUGALŠTINA (EVROPA),PORTUGISISK (EUROPA) ,PORTUGIESISCH (EUROPA) ,????????????? (??????),?????????????,,,,,
ROMANIAN ,RUMU?SKI ,ROEMEENS,ROMÂN?,RUMUNŠTINA,RUMÆNSK,RUMÄNISCH ,?????????,??????,,,,,
SERBIAN ,SERBSKI,SERVISCH,SÂRB?,SRBŠTINA,SERBISK,SERBISCH ,????????,?????,,,,,
SLOVAK ,S?OWACKI ,SLOWAAKS,SLOVAC?,SLOVENŠTINA,SLOVAKISK,SLOWAKISCH ,?????????,??????,,,,,
SPANISH (LATIN AMERICA) ,HISZPA?SKI (AMERYKA ?ACI?SKA) ,SPAANS (LATIJNS-AMERIKA),SPANIOL? (AMERICA LATIN?),ŠPAN?LŠTINA (LATINSKÁ AMERIKA),SPANSK (LATINAMERIKA),SPANISCH (LATEINAMERIKA) ,????????? (????????? ???????),??????????????,,,,,
SPANISH (SPAIN) ,HISZPA?SKI (HISZPANIA) ,SPAANS (SPANJE),SPANIOL? (SPANIA),ŠPAN?LŠTINA (ŠPAN?LSKO),SPANSK (SPANIEN),SPANISCH (SPANIEN) ,????????? (???????),???????????,,,,,
SWEDISH ,SZWEDZKI,ZWEEDS,SUEDEZ?,ŠVÉDŠTINA,SVENSK,SCHWEDISCH ,????????,???????,,,,,
TAGALOG ,TAGALOG ,TAGALOG,TAGALOG,TAGALOG,TAGALOG,TAGALOG ,??????????,?????,,,,,
THAI ,TAJSKI,THAIS,TAILANDEZ?,THAJŠTINA,THAI,THAI ,???????,???,,,,,
TURKISH ,TURECKI ,TURKS,TURC?,TURE?TINA,TYRKISK,TÜRKISCH ,????????,????,,,,,
UKRAINIAN ,UKRAI?SKI,OEKRAÏENS,UCRAINEAN?,UKRAJINŠTINA,UKRAINSK,UKRAINISCH ,??????????,??????,,,,,
VIETNAMESE,WIETNAMSKI,VIETNAMEES,VIETNAMEZ?,VIETNAMŠTINA,VIETNAMESISK ,VIETNAMESISCH,???????????,?????,,,,,
PUNJABI,,,,,,,,,,,,,
BENGALI,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
